Cat. Nr.,Common Name,Length,Recordist,Date,Time,Country,Location,Elevation,Type,Remarks,Quality,MP3 Link
XC573480,Black-headed Antbird,0:49,,2020-06-28,06:30,Brazil,"Close to Ramal do Pau Rosa, Manaus, Amazonas",100.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC573480-Percnostola%20subcristata_km28_1138.mp3
XC533367,Black-headed Antbird,0:54,,2019-11-11,09:00,Colombia,"Tarapacá, Amazonas Department. Campamento Doña Flor",90.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/KQVLEXDIUN/XC533367-Prufifrons2.mp3
XC357339,Black-headed Antbird,1:28,,2017-02-03,07:00,Colombia,"El Encanto, El Encanto, Amazonas",140.0,song,Pair responding to playback of,B,//xeno-canto.org/sounds/uploaded/PWMAZXONXH/XC357339-Black-headed%20Antbird%20El%20Encanto%20030217.MP3
XC357329,Black-headed Antbird,1:25,,2017-02-09,09:00,Colombia,"San Rafael, El Encanto, Amazonas",140.0,song,"Songs from a male as it moved through its territory, switching perches often, always keeping about 1m off the ground in terra firme forest understory",B,//xeno-canto.org/sounds/uploaded/PWMAZXONXH/XC357329-Black-headed%20Antbird%20San%20Rafael%20090217.MP3
XC357144,Black-headed Antbird,0:30,,2017-02-24,08:00,Brazil,"Silves, Amazonas",40.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC357144-Percnostola%20rufifrons_Itapiranga_1224.mp3
XC246244,Black-headed Antbird,1:48,,2004-08-07,08:05,Brazil,"São Gabriel da Cachoeira, Amazonas",70.0,song,"Right bank of rio Negro - terra firme forest - two cuts, natural and after playback",B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC246244-PERMIN03.mp3
XC227466,Black-headed Antbird,0:37,,2006-07-17,06:00,Brazil,"Iracema falls, Presidente Figueiredo, Amazonas",,song,ID certainty 100%. (Archiv. tape 391 side A track 8 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227466-Amazonas%20Antbird%20B%208039.mp3
XC227465,Black-headed Antbird,1:03,,2006-07-22,07:30,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 100%. (Archiv. tape 393 side A track 13 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227465-Amazonas%20Antbird%20B%208045.mp3
XC205656,Black-headed Antbird,1:12,,1996-11-16,07:00,Brazil,"Reserva Florestal Adolpho Ducke, Manaus, Amazonas",80.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/YIQSVPAMDQ/XC205656-Black-headed%20Antbird_duckeRes_Manaus.mp3
XC119133,Black-headed Antbird,0:16,,2010-06-15,09:00,Brazil,"Manaus, Amazonas",90.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119133-Percnostola%20rufifrons_Pau%20rosa.mp3
XC72871,Black-headed Antbird,0:12,,2010-07-22,07:00,Brazil,"Presidente Figueiredo, Amazonas",50.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/PercnostolarufifronsMMelopresFig.mp3
XC5390,Black-headed Antbird,0:20,,2005-09-27,8:30,Brazil,"Vila Arara, Amazonas",30.0,song,In response to playback,B,//xeno-canto.org/sounds/uploaded/SRRRBQPENI/Black-headed_Antbird_Hoyer.mp3
XC855945,Black-headed Antbird,0:32,,2020-12-24,06:30,Brazil,"Presidente Figueiredo, Amazonas",90.0,,[sono],C,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC855945-300924901.mp3
XC89263,Ash-breasted Antbird,0:25,,2002-10-03,16:30,Brazil,"Rio Jauaperi, Amazonas",20.0,call,"Dried out igapo forest. Pair, some time after playback.",,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/MYRLUG03.mp3
XC89262,Ash-breasted Antbird,0:28,,2002-09-25,16:00,Brazil,"Rio Jauaperi, Amazonas",20.0,song,"Dried out igapo forest. Male in foreground, after playback.",,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/MYRLUG02.mp3
XC669139,Ash-breasted Antbird,0:27,,2021-07-04,11:53,Colombia,"Isla Fantasía, Leticia, Amazonas",60.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/BSFIBFUGKW/XC669139-Myrmoborus_lugubris_IslaFantas%C3%ADa_Leticia20210704_115301.mp3
XC505165,Ash-breasted Antbird,0:49,,2019-04-02,09:34,Brazil,"Anavilhanas NP, Novo Airão, Amazonas",10.0,song,"Igapo forest, low level.",A,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC505165-LS111108%20Ash-breasted%20Antbird.mp3
XC352103,Ash-breasted Antbird,0:12,,2017-01-22,07:00,Brazil,"Novo Airão, Amazonas",30.0,call,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352103-Myrmoborus%20lugubris_Novo%20Air%C3%A3o_1612.mp3
XC352102,Ash-breasted Antbird,0:18,,2017-01-22,07:00,Brazil,"Novo Airão, Amazonas",30.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC352102-Myrmoborus%20lugubris_Novo%20Air%C3%A3o_1611.mp3
XC345915,Ash-breasted Antbird,1:20,,2016-11-09,07:00,Brazil,"Anavilhanas NP, Novo Airão, Amazonas",10.0,song,Tall igopo-forest in a river island.,A,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC345915-LS110565%20Ash-breasted%20Antbird.mp3
XC325845,Ash-breasted Antbird,0:32,,2016-07-05,07:00,Brazil,"São Sebastião do Uatumã, Amazonas",10.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325845-Myrmoborus%20lugubris_SS%20Uatuma_1234.mp3
XC316957,Ash-breasted Antbird,0:38,,2016-05-14,08:00,Brazil,"Anavilhanas Archipelago, Amazonas",10.0,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC316957-Myrmoborus%20lugubris_Novo%20Air%C3%A3o_1015.mp3
XC617677,Ash-breasted Antbird,0:05,,2020-12-26,09:00,Brazil,"Anavilhanas Archipelago, Amazonas",10.0,song,[sono],B,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC617677-ash%20breasted%20antbird.mp3
XC387109,Ash-breasted Antbird,0:20,,2017-09-10,07:00,Brazil,"Anavilhanas, Amazonas",20.0,song,,B,//xeno-canto.org/sounds/uploaded/CFRYARSVHN/XC387109-STE-091%20formigueiro-liso%20xc.mp3
XC505831,Black-headed Antbird,0:42,,2019-11-05,07:00,Brazil,"São Gabriel da Cachoeira, State of Amazonas",90,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC505831-Percnostola%20minor_sao%20gabriel_1105.mp3
XC504930,Black-headed Antbird,0:48,,2019-03-29,16:15,Brazil,"Presidente Figueiredo, State of Amazonas",140,song,Terra firme. The bird kept low and in the shadows of the bush.,A,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504930-LS111051%20Hellmayrs%20Antbird.mp3
XC504792,Black-headed Antbird,0:43,,2019-03-28,09:35,Brazil,"Presidente Figueiredo, Cachoeira da Onca RPPN, Amazonas",110,song,The bird kept close to forest floor. Terra firme.,A,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504792-LS110961%20Hellmayrs%20Antbird%20Tiny%20TyMan%2C%20Caica%20P.mp3
XC494074,Black-headed Antbird,0:15,,2019-08-02,8:18,Brazil,"Presidente Figueiredo, Amazonas",70,song,,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494074-2-8-2019%208e18%20Formigueiro%20de%20helmary.mp3
XC445459,Black-headed Antbird,0:45,,2018-12-07,07:00,Brazil,"Itacoatiara, Itacoatiara, Amazonas",20,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC445459-Percnostola%20subcristata_Novo%20remanso_1091.mp3
XC417788,Black-headed Antbird,0:52,,2018-05-28,07:00,Brazil,"Itacoatiara, Itacoatiara, Amazonas",20,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC417788-Percnostola%20rufifrons_Novo%20Remanso_1046.mp3
XC392081,Black-headed Antbird,0:22,,2017-11-06,08:00,Brazil,"Presidente Figueiredo, Presidente Figueiredo, Amazonas",110,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC392081-Percnostola%20subcristata_PF_1976.mp3
XC357334,Black-headed Antbird,2:18,,2017-02-06,08:00,Colombia,"San Rafael, El Encanto, Amazonas",140,song,[sono],A,//xeno-canto.org/sounds/uploaded/PWMAZXONXH/XC357334-Black-headed%20Antbird%20San%20Rafael%20060217.MP3
XC343836,Black-headed Antbird,1:54,,2004-08-08,10:54,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,left bank of rio Negro - tall campinarana forest,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC343836-PERMIN04.mp3
XC325803,Black-headed Antbird,0:24,,2016-07-03,08:00,Brazil,"Silves, Amazonas",40,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325803-Percnostola%20subcristata_Itapiranga_1201.mp3
XC227464,Black-headed Antbird,1:18,,2006-07-17,07:15,Brazil,"Iracema falls, Presidente Figueiredo, Amazonas",,song,ID certainty 100%. (Archiv. tape 391 side A track 20 seq. A),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227464-Amazonas%20Antbird%20A%208044.mp3
XC227463,Black-headed Antbird,0:43,,2006-07-17,07:00,Brazil,"Iracema falls, Presidente Figueiredo, Amazonas",,song,ID certainty 100%. (Archiv. tape 391 side A track 19 seq. A),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227463-Amazonas%20Antbird%20A%208043.mp3
XC227462,Black-headed Antbird,0:49,,2006-07-17,06:45,Brazil,"Iracema falls, Presidente Figueiredo, Amazonas",,song,ID certainty 100%. (Archiv. tape 391 side A track 14 seq. B),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227462-Amazonas%20Antbird%20A%208042.mp3
XC537848,Pygmy Antwren,0:28,,2017-07-19,07:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF02241 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC537848-2241%20Myrmotherula%20brachyura%28song%29DOF_SMacapa_MUrbano_AC_190717FIG.mp3
XC537491,Pygmy Antwren,0:24,,2017-06-21,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF02171 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC537491-2171%20Myrmotherula%20brachyura%20%28song%29UPA02_SeringalMacapa_Pauini_AM_210617_FIG.mp3
XC536209,Pygmy Antwren,0:56,,2016-05-24,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF01727- Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536209-1727%20Myrmotherula%20brachyura%28song%29Boca_do_Acre_Pauini_AM_240516_FIG.mp3
XC536208,Pygmy Antwren,0:26,,2016-05-24,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF01726 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536208-1726%20Myrmotherula%20brachyura%20%28song%29Boca_do_Acre_Pauini_AM_240516_FIG.mp3
XC536207,Pygmy Antwren,0:16,,2016-05-20,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF01725 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536207-1725%20Myrmotherula%20brachyura%20%28song%29Boca_do_Acre_AM_200516_FIG.mp3
XC494547,Pygmy Antwren,0:18,,2019-07-02,16:19,Brazil,"Presidente Figueiredo, Amazonas",150,song,Bando misto em estrato médio e alto de floresta alta. Várias espécies vocalizando no primeiro plano.,A,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494547-ICOGNITAS%20Bando%20misto%202-8-2019%2016e19.mp3
XC394449,Pygmy Antwren,0:13,,1993-00-00,?,Brazil,"BDFFP, Amazonas state",110,call,Pair,A,//xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394449-INPA%20-%20Myrmotherula%20brachyura%20%28Pygmy%20Antwren%29.mp3
XC226488,Pygmy Antwren,0:12,,1993-11-01,?,Venezuela,"Junglaven area, Amazonas",100 - 300,song,ID certainty 100%. (Archiv. tape 5 side B track 32 seq. A),A,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC226488-Pygmy%20Antwren%20%207160.mp3
XC504725,Pygmy Antwren,0:19,,2019-03-26,07:50,Brazil,"AM-354, Km 18, Careiro, Amazonas",40,song,"Terra firme, forest floor. Male and female duetting.",B,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504725-LS110897%20Pygmy%20Antwren.mp3
XC504722,Pygmy Antwren,0:39,,2019-03-26,07:45,Brazil,"AM-354, Km 18, Careiro, Amazonas",40,song,"Terra firme, forest floor.",B,//xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504722-LS110896%20Pygmy%20Antwren.mp3
XC386328,Pygmy Antwren,0:17,,2017-09-06,11:00,Brazil,"Presidente Figueiredo, Cachoeira da Onca RPPN, Amazonas",110,song,Terra firme forest.,B,//xeno-canto.org/sounds/uploaded/CFRYARSVHN/XC386328-STE-019%20choquinha-mi%C3%BAda%20xc.mp3
XC226493,Pygmy Antwren,0:06,,2006-07-17,08:30,Brazil,"Iracema falls, Presidente Figueiredo, Amazonas",,song,ID certainty 100%. (Archiv. tape 391 side A track 36 seq. B),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC226493-Pygmy%20Antwren%20B%207174.mp3
XC226492,Pygmy Antwren,0:21,,2006-07-19,10:30,Brazil,"Sao Gabriel da Cachoeira area, Amazonas",,song,ID certainty 100%. (Archiv. tape 392 side A track 27 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC226492-Pygmy%20Antwren%20B%207175.mp3
XC202720,Pygmy Antwren,0:03,,2009-03-10,?,Venezuela,"Junglaven Lodge, Amazonas",120,song,[sono],B,//xeno-canto.org/sounds/uploaded/VROUALCTKG/XC202720-Pygmy%20Antwren%20%28song%2C%20Junglaven%2C%20Venezuela%2C%20mar2009%2C%201%29.mp3
XC171114,Pygmy Antwren,1:14,,2014-03-12,16:00,Brazil,"Manaus, Amazonas",130,song,[sono],B,//xeno-canto.org/sounds/uploaded/DVJCMXOTVL/XC171114-Myrmotherula%20brachyura%20Manaus-AM.mp3
XC88174,Pygmy Antwren,0:25,,2004-08-14,10:50,Brazil,"Borba, Amazonas",30,song,Terra firme forest.,B,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/MYRBRA39.mp3
XC505043,Pygmy Antwren,0:15,,2019-08-12,16:30,Brazil,"Manacapuru, Amazonas",40,song,[sono],C,//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505043-190812_1278%20Myrmotherula%20brachyura.wav
XC188638,Pygmy Antwren,0:53,,2014-07-20,09:00,Brazil,"Reserva Florestal Adolpho Ducke, Manaus, Amazonas",80,song,[sono],C,//xeno-canto.org/sounds/uploaded/VGXDJMKETZ/XC188638-Myrmotherula%20brachyura.mp3
XC119427,Pygmy Antwren,0:15,,2010-06-06,08:30,Brazil,"Careiro, Amazonas",20,song,[sono],C,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119427-Myrmotherula%20brachyura2_Purupuru.MP3
XC88171,Pygmy Antwren,0:35,,2004-08-05,06:33,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,"Recorded on the right bank of the rio Negro at about 00º 09' 06""S 67º 05' 46""W. The habitat was just where  the ground rose up from the igapó forest and the terra firme forest started.",C,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/MYRBRA37.mp3
XC75138,Pygmy Antwren,0:25,,2010-07-22,09:00,Brazil,"Presidente Figueiredo, Amazonas",50,song,,C,//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/mz171MyrmotherulabrachyuraMMelo.mp3
XC855245,Pygmy Antwren,0:03,,2020-12-27,06:30,Brazil,"Novo Airão, Amazonas",60,,[sono],D,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC855245-301552541.mp3
XC536205,Black-throated Antbird,0:24,,2016-05-20,06:30,Brazil,"Purus River, Boca do Acre, State of Amazonas",150,song,FCF01724 - Fonoteca Casa da Floresta.,,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536205-1724%20Myrmophylax%20athrothorax%20%28song%29Boca_do_Acre_AM_200516_FIG.mp3
XC570772,Black-throated Antbird,0:58,,2020-06-21,06:30,Brazil,"Cirandeira Bela, Manacapuru, Amazonas",20,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC570772-Myrmophylax%20atrothorax_CIrandeira_1134.mp3
XC431876,Black-throated Antbird,0:34,,2018-08-13,15:30,Brazil,"Humaitá, Amazonas",90,song,[sono],A,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC431876-Myrmeciza%20atrotorax_Humaita_1276.mp3
XC301887,Black-throated Antbird,1:10,,1998-12-20,07:40,Brazil,"São Gabriel da Cachoeira, Amazonas",70,song,left bank of rio Negro - in low bushy scrub on white sand,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301887-MYRATR40.mp3
XC301621,Black-throated Antbird,0:51,,1998-12-19,17:13,Brazil,"São Gabriel da Cachoeira, Amazonas",70,call,Beside road Cucuí - edge of terra firme forest,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301621-MYRATR39.mp3
XC287305,White-eyed Tody-Tyrant,0:29,,2015-09-14,09:30,Brazil,"PN Jau 2, State of Amazonas",20,song,Response to playback from a bird perched about 10m up in midstory of tall terra firme with moderate understory and near a treefall gap edge. Simultaneously recorded by Bret Whitney.,B,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC287305-Hemitriccus%20zosterops150914_T181.mp3
XC284473,White-eyed Tody-Tyrant,0:37,,2015-08-11,16:30,Brazil,"Itacoatiara, Itacoatiara, Amazonas",30,call,Recording (not its ID) has been discussed.,B,//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/XC284473-White-e%20Tody-Tyrant%20Itacoatiara%2011%20August%202015.mp3
XC224038,White-eyed Tody-Tyrant,1:00,,2006-07-22,10:30,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,rattle,ID certainty 100%. (Archiv. tape 393 side A track 30 seq. B),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224038-unsplit%20White-eyed%20Tody-Tyrant%20B%2010326.mp3
XC224037,White-eyed Tody-Tyrant,0:24,,2006-07-22,10:30,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 100%. (Archiv. tape 393 side A track 30 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224037-unsplit%20White-eyed%20Tody-Tyrant%20B%2010325.mp3
XC224036,White-eyed Tody-Tyrant,0:57,,2006-07-24,08:00,Brazil,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",,song,ID certainty 90%. (Archiv. tape 394 side A track 3 seq. A),B,//xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224036-unsplit%20White-eyed%20Tody-Tyrant%20B%2010327.mp3
XC72783,White-eyed Tody-Tyrant,0:11,,2010-07-23,10:00,Brazil,"Presidente Figueiredo, Amazonas",?,"call, song",,B,//xeno-canto.org/sounds/uploaded/MRGDYNJGUJ/Hemitriccus%20zosterops%20MMelo.mp3
XC617068,White-eyed Tody-Tyrant,0:10,,2020-12-23,08:00,Brazil,"Close to Ramal do Pau Rosa, Manaus, Amazonas",100,song,[sono],C,//xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC617068-white%20eyed%20tody%20tyrant.mp3
XC505038,White-eyed Tody-Tyrant,0:25,,2019-08-12,17:00,Brazil,"Manacapuru, Amazonas",40,song,[sono],C,//xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505038-190812_1266%20Hemitriccus%20zosterops.wav
XC493044,White-eyed Tody-Tyrant,0:23,,2019-08-08,07:00,Brazil,"Novo Airão, State of Amazonas",70,call,[sono],C,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC493044-Hemitriccus%20minimus_Novo%20Airao_1523.mp3
XC14909,White-eyed Tody-Tyrant,0:14,,2007-03-30,08:30,Brazil,"Jau National Park, Amazonas State",?,song,response to playback,C,//xeno-canto.org/sounds/uploaded/FPHQAPNAFU/Hem%20zos%20grisei%20Jau%2030-03%20tvvc%20pb.mp3
XC119387,White-eyed Tody-Tyrant,0:14,,2010-06-11,07:30,Brazil,"Manaus, Amazonas",40,song,[sono],D,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119387-Hemitriccus%20zosterops_Ducke.edi2.mp3
XC284474,Snethlage's Tody-Tyrant,1:05,,2015-08-08,11:00,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,Bird c. 25 m distant in flooded igapó forest.,,//xeno-canto.org/sounds/uploaded/BZVYBRUAAE/XC284474-Snethlage%27s%20Tody-Tyrant%20pallens%20Anavilhanas%208%20August%202015.mp3
XC97670,Snethlage's Tody-Tyrant,0:23,,2004-08-15,06:11,Brazil,"Borba, Amazonas",30,call,Secondary scrub on edge of terra firme forest. Not seen. ID not 100% certain.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/HEMMNR26.mp3
XC97665,Snethlage's Tody-Tyrant,1:06,,2004-08-16,07:27,Brazil,"Borba, Amazonas",30,"call, song",Terra firme forest.,A,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/HEMMNR27.mp3
XC583016,Snethlage's Tody-Tyrant,0:19,,2020-08-16,07:00,Brazil,"Tupana lodge, Amazonas",40,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC583016-Hemitriccus%20minor_Tupana_1047.mp3
XC466550,Snethlage's Tody-Tyrant,3:23,,2017-09-26,10:30,Brazil,"Iranduba, Amazonas",20,call,"Unseen bird vocalizing naturally, perched about 10m up in midstory of varzea forest. ID was not confirmed, but Mario Cohn-Haft tentatively called it this species.",B,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC466550-Hemitriccus%20minorMaybe170926_T1933.mp3
XC424942,Snethlage's Tody-Tyrant,0:19,,2018-07-08,07:30,Brazil,"Canutama, Amazonas",90,call,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC424942-Hemitriccus_Canutama_1116.mp3
XC340142,Snethlage's Tody-Tyrant,0:23,,2016-10-21,07:30,Brazil,"Iranduba, Amazonas",20,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC340142-Hemitriccus%20minor%20pallens_Iranduba_1415.mp3
XC316953,Snethlage's Tody-Tyrant,0:21,,2016-05-14,07:00,Brazil,"Anavilhanas Archipelago, Amazonas",10,song,[sono],B,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC316953-Hemitriccus%20minor_Novo%20Airao_1028.mp3
XC188548,Snethlage's Tody-Tyrant,1:06,,2014-07-18,07:30,Brazil,"Manacapuru, Amazonas",30,song,[sono],B,//xeno-canto.org/sounds/uploaded/VGXDJMKETZ/XC188548-Hemitriccus%20minor%2018-07-2014%207%20horas%20e%2040%20min..MP3
XC38680,Snethlage's Tody-Tyrant,0:07,,2009-07-16,?:?,Brazil,"Borba, Amazonas",?,call,after playback,B,//xeno-canto.org/sounds/uploaded/GKADEITXTH/HEMMINpbkcri20090716.mp3
XC38679,Snethlage's Tody-Tyrant,0:33,,2009-07-19,?:?,Brazil,"Borba, Amazonas",?,call,after playback,B,//xeno-canto.org/sounds/uploaded/GKADEITXTH/HEMMINnominalpbk20090719.mp3
